tag,n_pings_logged,n_pings_used,span_s,drive_s,coverage_pct,median_interval_s,p90_interval_s,longest_gap_s,pings_per_min_in_span
D1_S1,21,17,102.2,2348.0,4.357,5.11,5.26,5.8,12.3
D1_S2,204,158,1301.0,1258.0,100.0,5.11,5.35,145.8,9.4
D1_S3,380,320,1973.5,1954.6,100.0,5.11,5.3,39.3,11.6
D1_S4,216,172,1114.9,1012.1,100.0,5.11,5.22,20.3,11.6
D2_S1,211,181,2376.3,1869.9,100.0,5.11,5.27,1182.5,5.3
D2_S2,43,38,1351.3,1295.2,100.0,5.11,5.63,619.1,1.9
D2_S3,113,107,1246.7,963.0,100.0,5.11,5.47,392.4,5.4
D2_S4,169,161,1268.5,1222.6,100.0,5.11,5.19,413.8,8.0
D3_S1,272,234,3078.4,2819.1,100.0,5.11,5.27,826.0,5.3
D3_S2,156,142,1066.4,883.3,100.0,5.11,5.22,198.5,8.8
D3_S3,491,449,2507.0,2282.9,100.0,5.11,5.3,6.0,11.8
D3_S4,50,44,1328.3,1264.1,100.0,5.11,5.74,798.8,2.3
D4_S1,76,67,490.3,2265.3,21.601,5.11,5.45,81.6,9.3
D4_S2,200,181,1236.4,1092.7,100.0,5.11,5.42,183.1,9.7
D4_S3,638,552,3722.7,3504.4,100.0,5.12,5.35,167.2,10.3
D4_S4,47,46,1260.4,1143.9,100.0,5.11,5.25,807.5,2.2
D5_S1,585,499,3463.9,3075.0,100.0,5.11,5.3,151.7,10.1
D5_S2,215,197,1105.8,1023.0,100.0,5.11,5.25,16.2,11.7
D5_S3,33,28,2917.4,2803.6,100.0,5.13,141.61,1277.7,0.7
D5_S4,132,122,1247.4,1047.8,100.0,5.11,5.39,372.6,6.3
D6_S1,359,327,1873.7,1735.0,100.0,5.11,5.3,46.3,11.5
D6_S3,80,70,2220.3,2099.8,100.0,5.11,5.29,1225.5,2.2
D6_S4,102,85,983.5,945.7,100.0,5.12,5.33,471.8,6.2
D7_S1,586,517,4020.0,3946.6,100.0,5.11,5.3,395.9,8.7
D7_S2,51,44,1094.4,1007.8,100.0,5.12,12.84,410.9,2.8
D7_S3,678,609,3464.0,3372.7,100.0,5.11,5.24,6.1,11.7
D7_S4,16,14,1059.3,1036.9,100.0,5.11,241.17,587.9,0.9
D8_S1,302,281,2205.7,2077.1,100.0,5.11,5.28,454.4,8.2
D8_S2,216,194,1146.5,974.2,100.0,5.11,5.27,51.6,11.3
D8_S3,161,141,3998.5,3887.2,100.0,5.12,5.38,1570.9,2.4
D8_S4,61,55,1316.0,1208.6,100.0,5.11,5.45,686.0,2.8
D9_S1,462,405,3415.2,3194.9,100.0,5.11,5.32,828.9,8.1
D9_S2,166,139,1322.8,1120.5,100.0,5.11,5.36,393.5,7.5
D9_S3,199,172,2089.3,2017.1,100.0,5.11,5.27,461.8,5.7
D9_S4,232,212,1181.9,1129.4,100.0,5.11,5.28,6.8,11.8
D10_S1,545,470,3432.0,3223.5,100.0,5.11,5.26,326.0,9.5
D10_S2,207,193,1054.4,961.4,100.0,5.11,5.18,5.9,11.8
D10_S3,137,109,3245.7,3139.2,100.0,5.11,5.5,1127.8,2.5
D10_S4,229,211,1167.0,1125.9,100.0,5.11,5.22,6.1,11.8
D11_S1,365,332,1955.7,1824.5,100.0,5.11,5.31,98.7,11.2
D11_S2,155,140,971.6,938.6,100.0,5.11,5.3,188.9,9.6
D11_S3,211,193,1935.0,1803.8,100.0,5.11,5.31,803.8,6.5
D11_S4,41,37,914.7,881.0,100.0,5.11,5.2,715.4,2.7
D12_S1,357,313,2197.5,1774.2,100.0,5.12,5.31,303.1,9.7
D12_S2,59,48,1205.1,1107.1,100.0,5.11,5.27,913.7,2.9
D12_S3,135,122,2371.7,2224.6,100.0,5.11,5.35,886.9,3.4
D12_S4,12,9,85.3,1223.6,6.139,5.11,5.7,34.3,8.4
D13_S1,558,448,2978.6,2897.6,100.0,5.11,5.4,74.9,11.2
D13_S2,95,81,1332.0,1048.0,100.0,5.11,5.25,637.6,4.3
D13_S3,182,162,2578.0,3053.2,84.429,5.11,5.24,1657.0,4.2
D13_S4,142,133,1221.0,1171.7,100.0,5.12,5.64,346.2,7.0
D14_S1,473,417,2593.3,2463.4,100.0,5.11,5.27,100.3,10.9
D14_S2,68,61,1219.1,1196.2,100.0,5.12,5.45,387.2,3.3
D14_S3,111,89,2055.1,1982.8,100.0,5.12,5.48,1147.4,3.2
D14_S4,112,102,1185.5,1153.2,100.0,5.11,5.3,622.9,5.7
D15_S1,531,475,2971.6,2914.1,100.0,5.11,5.29,169.0,10.7
D15_S2,49,39,1185.2,1091.2,100.0,5.12,5.4,944.8,2.5
D15_S3,47,43,2409.2,2310.4,100.0,5.11,5.6,2128.4,1.2
D15_S4,78,59,1268.7,1219.6,100.0,5.12,5.3,756.5,3.7
D16_S1,407,367,2077.3,1951.1,100.0,5.11,5.25,6.0,11.8
D16_S2,102,92,989.2,938.4,100.0,5.12,5.38,250.8,6.2
D16_S3,499,422,2663.2,2477.4,100.0,5.11,5.36,80.4,11.2
D16_S4,69,60,1105.8,1040.3,100.0,5.11,5.63,321.7,3.7
D17_S1,88,81,2039.6,1697.0,100.0,5.11,5.57,620.6,2.6
D17_S2,73,60,1239.3,971.3,100.0,5.12,5.53,359.6,3.5
D17_S3,165,138,2812.0,2771.5,100.0,5.12,5.35,818.5,3.5
D17_S4,63,55,1265.8,1231.9,100.0,5.12,5.39,953.6,3.0
D18_S1,41,34,2176.5,1958.4,100.0,5.12,5.41,1537.8,1.1
D18_S2,145,133,1308.8,1136.2,100.0,5.11,5.59,174.2,6.6
D18_S3,25,22,1851.3,1827.8,100.0,5.12,5.48,1732.9,0.8
D18_S4,143,127,1121.7,1102.3,100.0,5.11,5.49,226.0,7.6
D19_S1,259,221,1596.5,1381.6,100.0,5.12,5.43,139.2,9.7
D19_S2,25,23,1374.6,1275.7,100.0,5.11,5.14,1257.6,1.1
D19_S3,157,131,1835.0,1755.0,100.0,5.11,5.39,258.3,5.1
D19_S4,25,20,1238.1,1216.6,100.0,5.12,5.28,1120.4,1.2
D20_S1,377,332,2296.6,2137.2,100.0,5.11,5.31,122.9,9.8
D20_S2,44,36,1144.5,965.6,100.0,5.11,5.58,549.5,2.3
D20_S3,155,126,3827.2,3612.5,100.0,5.11,5.79,947.2,2.4
D20_S4,67,54,1201.7,1101.4,100.0,5.11,5.92,232.9,3.3
