tag,status,n_native_events,n_ge_0p01uS,events_per_min,scr_freq_median,scr_freq_mean,eda_rise_gt_0p01_frac,control_rise_gt_0p01_frac,spearman_amp_vs_rise,ibi_native_rows,ibi_per_beat_frac,n_fused_rows_with_scr
D1_S1,ok,0.0,0.0,0.0,0.0,0.05,,,,3929.0,0.999,58702.0
D1_S2,ok,0.0,0.0,0.0,0.0,0.0,,,,1772.0,0.999,31451.0
D1_S3,ok,170.0,151.0,5.22,5.22,5.26,0.993,0.169,0.999,2285.0,0.999,48866.0
D1_S4,"no SA/SR in ['PPG_IR', 'PPG_RED', 'PPG_GREEN', 'EDA', 'EDA_LEVEL', 'TEMP_CONTACT', 'TEMP_THERMOPILE', 'SCR_FREQ', 'IBI', 'HR', 'ACC', 'GYRO', 'MAG']",,,,,,,,,,,
D2_S1,ok,115.0,105.0,3.69,3.55,3.79,0.99,0.245,0.975,2396.0,1.0,46748.0
D2_S2,ok,115.0,39.0,5.33,4.58,5.39,0.974,0.056,0.911,999.0,1.0,32381.0
D2_S3,ok,136.0,90.0,8.47,8.1,8.6,1.0,0.101,0.948,1431.0,1.0,24077.0
D2_S4,ok,88.0,25.0,4.32,3.17,4.43,1.0,0.045,0.91,1027.0,1.0,30566.0
D3_S1,ok,1019.0,66.0,21.69,16.36,21.33,0.833,0.031,0.686,1822.0,1.0,70479.0
D3_S2,ok,268.0,149.0,18.2,17.24,18.69,0.953,0.185,0.951,1180.0,1.0,22084.0
D3_S3,ok,122.0,109.0,3.21,3.16,3.35,0.991,0.133,0.998,2342.0,1.0,57073.0
D3_S4,ok,147.0,123.0,6.98,6.68,7.56,0.992,0.197,0.994,1328.0,1.0,31603.0
D4_S1,ok,72.0,71.0,1.91,0.04,1.83,0.944,0.31,0.812,2325.0,0.999,56634.0
D4_S2,ok,85.0,77.0,4.67,4.95,5.01,0.987,0.182,0.992,1498.0,1.0,27318.0
D4_S3,ok,138.0,114.0,2.36,1.34,2.35,0.982,0.14,0.904,4300.0,1.0,87612.0
D4_S4,ok,1555.0,0.0,81.56,88.41,83.5,,,,1847.0,1.0,28599.0
D5_S1,ok,1534.0,287.0,29.93,28.25,29.57,0.899,0.125,0.85,2622.0,1.0,76875.0
D5_S2,ok,162.0,107.0,9.5,10.17,9.87,0.953,0.189,0.987,1118.0,1.0,25575.0
D5_S3,ok,1808.0,103.0,38.69,32.55,38.79,0.854,0.04,0.719,2341.0,1.0,70091.0
D5_S4,ok,268.0,145.0,15.35,14.86,15.68,0.979,0.186,0.933,821.0,1.0,26197.0
D6_S1,ok,109.0,109.0,3.77,2.64,3.78,0.982,0.33,0.921,1700.0,1.0,43375.0
D6_S3,ok,381.0,160.0,10.89,9.99,11.44,0.938,0.05,0.968,1845.0,1.0,52496.0
D6_S4,ok,146.0,52.0,9.26,6.66,9.36,0.981,0.115,0.997,792.0,1.0,23644.0
D7_S1,ok,1131.0,9.0,17.19,12.73,17.15,1.0,0.0,0.767,2122.0,0.998,98665.0
D7_S2,ok,772.0,5.0,45.96,45.9,44.63,1.0,0.0,,643.0,1.0,25196.0
D7_S3,ok,640.0,8.0,11.39,0.0,11.38,0.5,0.143,-0.048,2062.0,0.998,84318.0
D7_S4,ok,839.0,7.0,48.55,45.59,48.03,1.0,0.0,0.929,636.0,0.997,25923.0
D8_S1,ok,129.0,113.0,3.73,2.81,4.08,0.965,0.147,0.977,2854.0,1.0,51928.0
D8_S2,ok,10.0,5.0,0.62,0.14,0.64,1.0,0.0,,1155.0,1.0,24356.0
D8_S3,ok,137.0,17.0,2.11,0.01,2.56,0.824,0.0,0.76,3529.0,1.0,97181.0
D8_S4,ok,81.0,48.0,4.02,2.24,4.53,0.896,0.024,0.904,1427.0,1.0,30216.0
D9_S1,ok,258.0,212.0,4.85,2.7,4.91,0.929,0.258,0.845,4341.0,1.0,79873.0
D9_S2,ok,12.0,12.0,0.64,0.0,1.26,1.0,0.333,0.972,851.0,0.998,28014.0
