tag,eda_oor,eda_flat,scr_flat,hr_drop,ibi_oor,hr_gap,driver,session,eda_ok,scr_ok,hr_ok,dur_min,ibi_avail_pct,ibi_avail_min
D1_S1,0.0,88.98,91.15,12.98,17.54,45.56,1,1,False,False,True,39.13,71.76,28.08
D1_S2,0.0,90.32,100.0,7.92,12.41,12.64,1,2,False,False,True,20.97,80.65,16.91
D1_S3,0.0,0.0,0.0,18.97,17.62,40.12,1,3,True,True,True,32.58,66.75,21.74
D1_S4,0.0,88.37,93.52,61.24,44.24,60.96,1,4,False,False,False,16.87,21.61,3.65
D2_S1,0.0,3.12,0.0,6.96,21.61,6.48,2,1,True,True,True,31.17,72.93,22.73
D2_S2,0.0,0.03,0.0,31.55,36.76,18.72,2,2,True,True,False,21.59,43.29,9.34
D2_S3,0.0,0.0,0.0,3.45,11.35,5.68,2,3,True,True,True,16.05,85.59,13.74
D2_S4,0.0,0.0,0.0,20.41,37.2,9.44,2,4,True,True,True,20.38,49.98,10.18
D3_S1,0.0,21.79,0.3,43.1,42.35,24.52,3,1,True,True,False,46.98,32.81,15.41
D3_S2,0.0,0.0,0.0,8.02,17.43,12.84,3,2,True,True,True,14.72,75.95,11.18
D3_S3,0.0,5.6,0.48,12.98,24.07,15.96,3,3,True,True,True,38.05,66.07,25.14
D3_S4,0.0,3.11,0.0,16.36,23.13,20.84,3,4,True,True,True,21.07,64.3,13.55
D4_S1,70.1,64.19,41.35,19.08,29.58,11.92,4,1,False,False,True,37.76,56.99,21.52
D4_S2,0.0,3.13,0.0,10.48,17.24,8.16,4,2,True,True,True,18.21,74.08,13.49
D4_S3,20.34,19.47,12.85,6.28,8.9,15.32,4,3,True,True,True,58.41,85.38,49.87
D4_S4,0.0,0.0,0.0,5.04,7.24,10.16,4,4,True,True,True,19.07,88.09,16.79
D5_S1,0.0,2.33,0.0,29.9,36.27,17.76,5,1,True,True,True,51.25,44.67,22.9
D5_S2,0.0,0.38,0.0,7.76,15.31,8.88,5,2,True,True,True,17.05,78.12,13.32
D5_S3,0.0,7.7,0.0,28.7,39.17,41.28,5,3,True,True,True,46.73,43.37,20.27
D5_S4,0.0,0.0,0.0,33.42,42.07,21.04,5,4,True,True,False,17.46,38.57,6.74
D6_S1,23.6,19.74,1.35,14.12,21.34,9.84,6,1,True,True,True,28.92,67.56,19.54
D6_S3,0.0,0.0,0.0,18.3,31.01,12.72,6,3,True,True,True,35.0,56.37,19.73
D6_S4,0.0,0.0,0.0,16.0,35.35,10.4,6,4,True,True,True,15.76,54.31,8.56
D7_S1,0.0,34.58,2.15,45.9,49.97,63.72,7,1,False,True,False,65.78,27.07,17.8
D7_S2,0.0,9.26,0.0,34.38,49.1,17.32,7,2,True,True,False,16.8,33.4,5.61
D7_S3,0.0,60.99,53.27,41.22,45.99,75.04,7,3,False,False,False,56.21,31.75,17.85
D7_S4,0.0,2.33,0.0,34.0,47.64,17.68,7,4,True,True,False,17.28,34.56,5.97
D8_S1,0.0,7.85,0.0,5.09,7.71,7.84,8,1,True,True,True,34.62,87.59,30.32
D8_S2,0.0,1.77,19.94,6.55,13.39,6.24,8,2,True,True,True,16.24,80.94,13.14
D8_S3,0.0,23.64,45.3,9.05,18.49,13.32,8,3,True,False,True,64.79,74.14,48.03
D8_S4,0.0,6.72,0.0,2.62,9.02,5.6,8,4,True,True,True,20.14,88.59,17.84
D9_S1,27.18,30.6,20.59,9.04,12.19,10.84,9,1,False,True,True,53.25,79.87,42.53
D9_S2,75.91,80.33,63.48,34.34,39.89,20.2,9,2,False,False,False,18.68,39.47,7.37
D9_S3,0.0,0.2,36.63,2.58,6.7,5.88,9,3,True,False,True,33.62,90.89,30.55
D9_S4,74.11,73.87,50.88,18.55,21.91,15.08,9,4,False,False,True,18.82,63.6,11.97
D10_S1,13.87,12.57,14.98,7.24,12.03,12.12,10,1,True,True,True,53.72,81.59,43.84
D10_S2,0.0,0.34,0.0,16.3,20.05,11.96,10,2,True,True,True,16.02,66.91,10.72
D10_S3,0.0,0.43,0.0,29.38,33.55,83.96,10,3,True,True,True,52.32,46.92,24.55
D10_S4,0.0,1.46,0.0,14.29,19.79,14.68,10,4,True,True,True,18.76,68.74,12.9
D11_S1,0.0,1.07,0.0,24.72,36.32,13.64,11,1,True,True,True,30.41,47.94,14.58
D11_S2,0.0,1.63,0.0,22.69,36.08,10.52,11,2,True,True,True,15.64,49.41,7.73
D11_S3,0.0,0.02,0.02,26.61,45.5,14.0,11,3,True,True,True,30.06,40.0,12.02
D11_S4,0.0,1.97,0.0,19.18,37.11,12.4,11,4,True,True,True,14.68,50.83,7.46
D12_S1,100.0,85.64,80.31,8.93,15.38,10.16,12,1,False,False,True,29.57,77.07,22.79
D12_S2,23.35,23.25,7.11,10.51,19.37,15.92,12,2,True,True,True,18.45,72.16,13.32
D12_S3,0.0,2.95,29.11,49.0,53.66,52.0,12,3,True,True,False,37.08,23.63,8.76
D12_S4,0.76,9.66,3.65,25.08,30.92,17.12,12,4,True,True,True,20.39,51.76,10.56
D13_S1,0.0,0.35,0.0,9.57,22.54,12.96,13,1,True,True,True,48.29,70.04,33.83
D13_S2,0.0,0.04,0.0,30.1,26.43,22.32,13,2,True,True,False,17.47,51.43,8.98
D13_S3,0.0,17.38,0.0,36.62,35.22,24.2,13,3,True,True,False,50.89,41.06,20.89
D13_S4,0.0,0.0,0.0,19.18,18.86,15.6,13,4,True,True,True,19.53,65.57,12.81
D14_S1,0.0,0.34,0.0,1.27,8.45,4.12,14,1,True,True,True,41.06,90.39,37.11
D14_S2,0.0,0.15,0.0,12.64,23.25,10.08,14,2,True,True,True,19.94,67.05,13.37
D14_S3,0.0,0.66,0.0,8.62,18.24,6.8,14,3,True,True,True,33.05,74.72,24.69
D14_S4,0.0,0.07,0.0,11.83,20.0,12.64,14,4,True,True,True,19.22,70.53,13.56
D15_S1,0.0,0.57,0.0,27.18,37.24,26.0,15,1,True,True,True,48.57,45.7,22.19
D15_S2,10.2,13.27,39.68,1.52,4.3,6.28,15,2,True,False,True,18.19,94.24,17.14
D15_S3,0.0,14.08,0.0,17.36,18.67,30.4,15,3,True,True,True,38.51,67.21,25.88
D15_S4,0.0,6.59,0.0,4.87,6.73,11.6,15,4,True,True,True,20.33,88.73,18.04
D16_S1,0.0,0.02,0.0,12.35,29.22,8.04,16,1,True,True,True,32.52,62.04,20.17
