tag,rows,elapsed_end_s,utc_span_s,utc_minus_elapsed_end_s,max_abs_utc_minus_elapsed_s,n_utc_jumps_gt_0p5s,first_utc_jump_at_elapsed_s,utc_jump_sizes_s,n_segments,min_satellites,video_notes
D10_S1,86164,3446.68,3446.68,-0.0,0.0,0,,[],3,7,"seg1: n=34958, avi-elapsed range 0.06s | seg2: n=35231, avi-elapsed range 0.06s | seg3: n=15975, avi-elapsed range 0.04s"
D10_S2,26624,1064.96,1065.0,0.04,0.04,0,,[],1,9,"seg1: n=26624, avi-elapsed range 0.07s"
D10_S3,81313,3252.64,3252.72,0.08,0.08,0,,[],3,8,"seg1: n=34955, avi-elapsed range 0.11s | seg2: n=35236, avi-elapsed range 0.06s | seg3: n=11122, avi-elapsed range 0.04s"
D10_S4,29382,1175.28,1175.28,0.0,0.0,0,,[],1,9,"seg1: n=29382, avi-elapsed range 0.05s"
D11_S1,49782,1991.44,1991.44,0.0,0.0,0,,[],2,12,"seg1: n=34960, avi-elapsed range 0.06s | seg2: n=14822, avi-elapsed range 0.04s"
D11_S2,26832,1073.32,1073.32,0.0,0.0,0,,[],1,11,"seg1: n=26832, avi-elapsed range 0.06s"
D11_S3,48648,1946.08,1946.24,0.16,0.16,0,,[],2,0,"seg1: n=34952, avi-elapsed range 0.19s | seg2: n=13696, avi-elapsed range 0.04s"
D11_S4,22987,919.48,919.48,-0.0,0.0,0,,[],1,10,"seg1: n=22987, avi-elapsed range 0.05s"
D12_S1,49097,1963.92,1964.0,0.08,0.08,0,,[],2,9,"seg1: n=34959, avi-elapsed range 0.11s | seg2: n=14138, avi-elapsed range 0.04s"
D12_S2,30963,1238.56,1238.64,0.08,0.08,0,,[],1,9,"seg1: n=30963, avi-elapsed range 0.09s"
D12_S3,59764,2390.6,2390.6,-0.0,0.0,0,,[],2,9,"seg1: n=34951, avi-elapsed range 0.06s | seg2: n=24813, avi-elapsed range 0.05s"
D12_S4,31242,1249.68,1249.68,0.0,0.0,0,,[],1,0,"seg1: n=31242, avi-elapsed range 0.06s"
D13_S1,74658,2986.6,2986.76,0.16,0.16,0,,[],3,0,"seg1: n=34943, avi-elapsed range 0.19s | seg2: n=35236, avi-elapsed range 0.06s | seg3: n=4479, avi-elapsed range 0.03s"
D13_S2,33362,1334.6,1334.64,0.04,0.04,0,,[],1,9,"seg1: n=33362, avi-elapsed range 0.07s"
D13_S3,82660,3306.48,3306.52,0.04,0.04,0,,[],3,0,"seg1: n=34961, avi-elapsed range 0.09s | seg2: n=35232, avi-elapsed range 0.06s | seg3: n=12467, avi-elapsed range 0.04s"
D13_S4,30680,1227.2,1227.2,-0.0,0.0,0,,[],1,11,"seg1: n=30680, avi-elapsed range 0.06s"
D14_S1,65217,2608.76,2608.8,0.04,0.04,0,,[],2,7,"seg1: n=34959, avi-elapsed range 0.06s | seg2: n=30258, avi-elapsed range 0.07s"
D14_S2,30824,1233.64,1233.64,-0.0,0.0,0,,[],1,8,"seg1: n=30824, avi-elapsed range 0.05s"
D14_S3,51633,2065.88,2065.96,0.08,0.08,0,,[],2,0,"seg1: n=35118, avi-elapsed range 0.11s | seg2: n=16515, avi-elapsed range 0.04s"
D14_S4,29735,1189.4,1189.4,-0.0,0.0,0,,[],1,0,"seg1: n=29735, avi-elapsed range 0.05s"
D15_S1,75005,3000.4,3000.44,0.04,0.04,0,,[],3,0,"seg1: n=34955, avi-elapsed range 0.07s | seg2: n=35223, avi-elapsed range 0.06s | seg3: n=4827, avi-elapsed range 0.03s"
D15_S2,29869,1194.76,1194.76,0.0,0.0,0,,[],1,12,"seg1: n=29869, avi-elapsed range 0.06s"
D15_S3,60547,2421.88,2421.88,-0.0,0.0,0,,[],2,9,"seg1: n=34953, avi-elapsed range 0.06s | seg2: n=25594, avi-elapsed range 0.05s"
D15_S4,32192,1287.64,1287.64,-0.0,0.0,0,,[],1,10,"seg1: n=32192, avi-elapsed range 0.06s"
D16_S1,52441,2097.68,2097.8,0.12,0.12,0,,[],2,0,"seg1: n=34958, avi-elapsed range 0.10s | seg2: n=17483, avi-elapsed range 0.07s"
D16_S2,24826,993.0,993.0,0.0,0.0,0,,[],1,11,"seg1: n=24826, avi-elapsed range 0.05s"
D16_S3,66881,2675.32,2675.72,0.4,0.4,0,,[],2,0,"seg1: n=34946, avi-elapsed range 0.42s | seg2: n=31935, avi-elapsed range 0.06s"
D16_S4,27976,1119.08,1119.16,0.08,0.08,0,,[],1,12,"seg1: n=27976, avi-elapsed range 0.09s"
D17_S1,51323,2053.2,2053.24,0.04,0.04,0,,[],2,0,"seg1: n=34953, avi-elapsed range 0.07s | seg2: n=16370, avi-elapsed range 0.05s"
D17_S2,28165,1133.96,1259.68,125.72,125.72,1,811.0,[123.36],1,0,"seg1: n=28165, avi-elapsed range 125.75s |   video/elapsed jumps at elapsed [811.0] sizes [123.3]"
D17_S3,70361,2814.56,2814.56,-0.0,0.0,0,,[],3,0,"seg1: n=34950, avi-elapsed range 0.06s | seg2: n=35228, avi-elapsed range 0.06s | seg3: n=183, avi-elapsed range 0.03s"
D17_S4,31745,1269.8,1269.8,-0.0,0.0,0,,[],1,0,"seg1: n=31745, avi-elapsed range 0.06s"
D18_S1,54711,2190.32,2191.24,0.92,0.92,0,,[],2,10,"seg1: n=34898, avi-elapsed range 0.95s | seg2: n=19813, avi-elapsed range 0.05s"
D18_S2,33054,1322.16,1322.16,-0.0,0.0,0,,[],1,11,"seg1: n=33054, avi-elapsed range 0.06s"
D18_S3,46441,1857.72,1857.72,0.0,0.0,0,,[],2,0,"seg1: n=34955, avi-elapsed range 0.06s | seg2: n=11486, avi-elapsed range 0.04s"
D18_S4,28208,1128.32,1128.32,-0.0,0.0,0,,[],1,10,"seg1: n=28208, avi-elapsed range 0.06s"
D19_S1,40438,1617.72,1618.32,0.6,0.6,0,,[],2,9,"seg1: n=34941, avi-elapsed range 0.61s | seg2: n=5497, avi-elapsed range 0.03s"
D19_S2,34556,1382.2,1382.24,0.04,0.04,0,,[],1,0,"seg1: n=34556, avi-elapsed range 0.07s"
D19_S3,46226,1849.04,1849.08,0.04,0.04,0,,[],2,11,"seg1: n=34954, avi-elapsed range 0.06s | seg2: n=11272, avi-elapsed range 0.07s"
D19_S4,31137,1245.48,1245.48,-0.0,0.0,0,,[],1,0,"seg1: n=31137, avi-elapsed range 0.06s"
D1_S1,60210,2408.48,2408.52,0.04,0.04,0,,[],2,0,"seg1: n=34972, avi-elapsed range 0.09s | seg2: n=25238, avi-elapsed range 0.06s"
D1_S2,32757,1310.48,1310.52,0.04,0.04,0,,[],1,0,"seg1: n=32757, avi-elapsed range 0.07s"
D1_S3,49561,1982.44,1982.44,0.0,0.0,0,,[],2,10,"seg1: n=34952, avi-elapsed range 0.06s | seg2: n=14609, avi-elapsed range 0.04s"
D1_S4,28095,1125.08,1125.28,0.2,0.2,0,,[],1,0,"seg1: n=28095, avi-elapsed range 0.08s"
D20_S1,58051,2323.04,2323.08,0.04,0.04,0,,[],2,0,"seg1: n=34933, avi-elapsed range 0.07s | seg2: n=23118, avi-elapsed range 0.05s"
D20_S2,28766,1150.64,1150.64,-0.0,0.0,0,,[],1,7,"seg1: n=28766, avi-elapsed range 0.06s"
D20_S3,96813,3872.76,3873.0,0.24,0.24,0,,[],3,5,"seg1: n=35023, avi-elapsed range 0.19s | seg2: n=35232, avi-elapsed range 0.07s | seg3: n=26558, avi-elapsed range 0.07s"
D20_S4,30131,1205.2,1205.24,0.04,0.04,0,,[],1,11,"seg1: n=30131, avi-elapsed range 0.07s"
D2_S1,58874,2355.44,2355.44,0.0,0.0,0,,[],2,11,"seg1: n=34952, avi-elapsed range 0.06s | seg2: n=23922, avi-elapsed range 0.05s"
D2_S2,33848,1353.92,1353.92,-0.0,0.0,0,,[],1,11,"seg1: n=33848, avi-elapsed range 0.06s"
D2_S3,31240,1249.84,1249.88,0.04,0.04,0,,[],1,10,"seg1: n=31240, avi-elapsed range 0.07s"
D2_S4,31775,1271.0,1271.0,0.0,0.0,0,,[],1,10,"seg1: n=31775, avi-elapsed range 0.06s"
D3_S1,77242,3089.84,3089.84,-0.0,0.0,0,,[],3,0,"seg1: n=34958, avi-elapsed range 0.06s | seg2: n=35232, avi-elapsed range 0.06s | seg3: n=7052, avi-elapsed range 0.04s"
D3_S2,26847,1073.88,1073.88,-0.0,0.0,0,,[],1,8,"seg1: n=26847, avi-elapsed range 0.05s"
D3_S3,63184,2527.32,2527.44,0.12,0.12,0,,[],2,0,"seg1: n=34958, avi-elapsed range 0.07s | seg2: n=28226, avi-elapsed range 0.07s"
D3_S4,33407,1336.6,1336.76,0.16,0.16,0,,[],1,9,"seg1: n=33407, avi-elapsed range 0.19s"
D4_S1,63538,2541.92,2542.56,0.64,0.64,0,,[],2,10,"seg1: n=34952, avi-elapsed range 0.67s | seg2: n=28586, avi-elapsed range 0.05s"
D4_S2,31101,1244.56,1244.56,-0.0,0.0,0,,[],1,0,"seg1: n=31101, avi-elapsed range 0.06s"
D4_S3,88698,3548.48,3548.52,0.04,0.04,0,,[],3,7,"seg1: n=34955, avi-elapsed range 0.06s | seg2: n=35226, avi-elapsed range 0.07s | seg3: n=18517, avi-elapsed range 0.05s"
D4_S4,31818,1273.24,1273.24,0.0,0.0,0,,[],1,6,"seg1: n=31818, avi-elapsed range 0.06s"
