tag,lead_in_s,lead_in_median_first_segment_s,lead_in_spread_ms,n_video_segments,telemetry_rows,telemetry_s
D10_S1,11.053,11.025,60.0,3,86164,3446.68
D10_S2,11.02,11.042,68.0,1,26624,1064.96
D10_S3,11.053,11.129,107.0,3,81313,3252.64
D10_S4,11.253,11.233,53.0,1,29382,1175.28
D11_S1,11.02,11.009,61.0,2,49782,1991.44
D11_S2,11.053,11.051,55.0,1,26832,1073.32
D11_S3,11.053,11.183,187.0,2,48648,1946.08
D11_S4,11.153,11.145,50.0,1,22987,919.48
D12_S1,11.12,11.176,107.0,2,49097,1963.92
D12_S2,11.187,11.243,86.0,1,30963,1238.56
D12_S3,11.186,11.16,61.0,2,59764,2390.6
D12_S4,5.62,5.617,57.0,1,31242,1249.68
D13_S1,11.119,11.276,187.0,3,74658,2986.6
D13_S2,11.153,11.194,72.0,1,33362,1334.6
D13_S3,11.086,11.055,92.0,3,82660,3306.48
D13_S4,11.186,11.158,55.0,1,30680,1227.2
D14_S1,11.12,11.106,61.0,2,65217,2608.76
D14_S2,11.053,11.032,54.0,1,30824,1233.64
D14_S3,4.22,4.259,113.0,2,51633,2065.88
D14_S4,11.253,11.239,52.0,1,29735,1189.4
D15_S1,11.186,11.164,72.0,3,75005,3000.4
D15_S2,11.086,11.065,55.0,1,29869,1194.76
D15_S3,11.286,11.263,61.0,2,60547,2421.88
D15_S4,11.053,11.038,56.0,1,32192,1287.64
D16_S1,11.02,11.038,100.0,2,52441,2097.68
D16_S2,11.153,11.142,53.0,1,24826,993.0
D16_S3,11.153,11.526,417.0,2,66881,2675.32
D16_S4,11.253,11.311,93.0,1,27976,1119.08
D17_S1,11.053,11.073,72.0,2,51323,2053.2
D17_S2,11.053,11.036,125749.0,1,28165,1133.96
D17_S3,11.153,11.122,61.0,3,70361,2814.56
D17_S4,11.119,11.093,57.0,1,31745,1269.8
D18_S1,11.02,11.913,945.0,2,54711,2190.32
D18_S2,11.253,11.247,60.0,1,33054,1322.16
D18_S3,11.153,11.143,60.0,2,46441,1857.72
D18_S4,11.186,11.158,56.0,1,28208,1128.32
D19_S1,11.12,11.693,613.0,2,40438,1617.72
D19_S2,11.12,11.12,72.0,1,34556,1382.2
D19_S3,11.22,11.211,60.0,2,46226,1849.04
D19_S4,5.653,5.625,56.0,1,31137,1245.48
D1_S1,10.42,10.412,87.0,2,60210,2408.48
D1_S2,11.12,11.132,69.0,1,32757,1310.48
D1_S3,11.153,11.143,60.0,2,49561,1982.44
D1_S4,5.553,5.573,75.0,1,28095,1125.08
D20_S1,11.086,11.125,69.0,2,58051,2323.04
D20_S2,11.153,11.141,55.0,1,28766,1150.64
D20_S3,8.086,8.208,186.0,3,96813,3872.76
D20_S4,11.186,11.168,70.0,1,30131,1205.2
D2_S1,11.086,11.068,62.0,2,58874,2355.44
D2_S2,11.253,11.252,61.0,1,33848,1353.92
D2_S3,11.053,11.09,67.0,1,31240,1249.84
D2_S4,11.253,11.23,59.0,1,31775,1271.0
D3_S1,11.12,11.116,60.0,3,77242,3089.84
D3_S2,11.153,11.137,53.0,1,26847,1073.88
D3_S3,11.053,11.083,67.0,2,63184,2527.32
D3_S4,11.253,11.256,189.0,1,33407,1336.6
D4_S1,10.987,11.603,665.0,2,63538,2541.92
D4_S2,11.087,11.08,55.0,1,31101,1244.56
D4_S3,11.086,11.055,61.0,3,88698,3548.48
D4_S4,11.12,11.105,57.0,1,31818,1273.24
D5_S1,8.453,8.489,94.0,3,87277,3491.36
D5_S2,11.086,11.08,52.0,1,28885,1155.6
D5_S3,11.086,11.072,59.0,3,73508,2940.44
D5_S4,11.12,11.101,58.0,1,31511,1260.52
D6_S1,3.92,3.912,62.0,2,47170,1886.92
D6_S2,11.219,11.272,80.0,1,31541,1261.6
D6_S3,11.286,11.254,61.0,2,55955,2238.2
D6_S4,11.153,11.154,54.0,1,25415,1016.6
D7_S1,11.153,11.15,62.0,3,100780,4031.24
D7_S2,11.12,11.114,52.0,1,27661,1106.48
D7_S3,11.119,11.069,101.0,3,87782,3511.56
D7_S4,3.62,3.615,51.0,1,26739,1069.56
D8_S1,11.053,12.467,1472.0,2,55306,2222.2
D8_S2,11.119,11.101,53.0,1,28850,1154.0
D8_S3,11.086,11.134,102.0,3,100259,4010.44
D8_S4,11.086,11.105,60.0,1,33253,1333.48
D9_S1,11.119,11.115,59.0,3,85748,3430.12
D9_S2,11.153,11.129,60.0,1,33337,1334.72
D9_S3,11.087,11.07,62.0,2,53348,2133.92
D9_S4,11.153,11.153,55.0,1,29713,1188.52
