UTC time,Satellites,Speed (km/h),Heading (Degrees),Latitude,Longitude,BrakeTrigger,Dgps,Wav file,Dual Antenna Status,Height (m),Vertical velocity (km/h),Solution type,Avi sync time (s),Avi file index,Elapsed time (s),Distance (m),Lateral acceleration (g),Longitudinal acceleration (g),Relative height (m),Gradient (%),Radius of turn (m),sampleperiod (s),ADC2 (v),ADC1 (v),Revs (RPM),Combo_G ((null))
164117.760,16,0.05,160.3,24°52.342614 N,46°39.593226 E,0,1,0,0,686.38,0.04,2,8353.000,1,0.000,0.00,0.00,0.00,0.00,0,0.00,0.040,0,0,0,0
164117.800,16,0.06,160.3,24°52.342614 N,46°39.593220 E,0,1,0,0,686.39,0.04,2,8420.000,1,0.040,0.00,0.00,0.00,0.00,0,0.00,0.040,0,0,0,0
164117.880,16,0.08,160.3,24°52.342620 N,46°39.593214 E,0,1,0,0,686.41,0.04,2,8487.000,1,0.080,0.00,0.00,0.01,0.00,0,0.00,0.080,0,0,0,0
164117.920,16,0.14,160.3,24°52.342620 N,46°39.593208 E,0,1,0,0,686.42,0.04,2,8520.000,1,0.120,0.00,0.00,0.04,0.00,0,0.00,0.040,0,0,0,0
164117.960,16,0.08,160.3,24°52.342620 N,46°39.593208 E,0,1,0,0,686.43,0.04,2,8553.000,1,0.160,0.00,0.00,-0.04,0.00,0,0.00,0.040,0,0,0,0
164118.000,16,0.01,160.3,24°52.342620 N,46°39.593208 E,0,1,0,0,686.44,0.04,2,8620.000,1,0.200,0.00,0.00,-0.05,0.00,0,0.00,0.040,0,0,0,0
164118.080,16,0.06,160.3,24°52.342626 N,46°39.593202 E,0,1,0,0,686.45,0.04,2,8687.000,1,0.240,0.00,0.00,0.02,0.00,0,0.00,0.080,0,0,0,0
164118.120,16,0.08,160.3,24°52.342626 N,46°39.593202 E,0,1,0,0,686.46,0.04,2,8720.000,1,0.280,0.00,0.00,0.02,0.00,0,0.00,0.040,0,0,0,0
164118.160,16,0.12,160.3,24°52.342626 N,46°39.593196 E,0,1,0,0,686.46,0.04,2,8753.000,1,0.320,0.00,0.00,0.02,0.00,0,0.00,0.040,0,0,0,0
164118.200,16,0.03,160.3,24°52.342626 N,46°39.593196 E,0,1,0,0,686.47,0.04,2,8820.000,1,0.360,0.00,0.00,-0.06,0.00,0,0.00,0.040,0,0,0,0
164118.240,16,0.05,160.3,24°52.342632 N,46°39.593190 E,0,1,0,0,686.49,0.04,2,8853.000,1,0.400,0.00,0.00,0.02,0.00,0,0.00,0.040,0,0,0,0
