drive,file,class,start_s,end_s,duration_s,peak_smoothed_g,mean_speed_kmh
Drive 1,validation_session.csv,Harsh Braking,5.44,7.96,2.56,0.529,39.6
Drive 1,validation_session.csv,Harsh Acceleration,9.8,11.64,1.88,0.235,28.6
Drive 1,validation_session.csv,Harsh Braking,17.16,19.44,2.32,0.546,37.8
Drive 1,validation_session.csv,Harsh Acceleration,21.84,22.32,0.52,0.222,25.6
Drive 1,validation_session.csv,Harsh Braking,25.96,27.28,1.36,0.564,29.4
Drive 1,validation_session.csv,Harsh Acceleration,28.88,30.84,2.0,0.215,24.9
Drive 1,validation_session.csv,Harsh Braking,33.64,34.8,1.2,0.561,31.8
Drive 1,validation_session.csv,Harsh Acceleration,36.12,36.68,0.6,0.215,23.2
Drive 1,validation_session.csv,Harsh Braking,40.44,41.52,1.12,0.601,33.1
Drive 1,validation_session.csv,Harsh Acceleration,43.88,44.64,0.8,0.209,31.6
Drive 1,validation_session.csv,Harsh Braking,81.4,82.52,1.16,0.427,52.9
Drive 1,validation_session.csv,Harsh Braking,145.96,147.52,1.6,0.514,50.6
Drive 1,validation_session.csv,Harsh Braking,151.84,153.24,1.44,0.572,34.5
Drive 1,validation_session.csv,Harsh Acceleration,154.72,156.48,1.8,0.235,30.2
Drive 1,validation_session.csv,Harsh Braking,157.12,158.16,1.08,0.588,25.9
Drive 1,validation_session.csv,Harsh Acceleration,161.56,163.4,1.88,0.235,22.6
Drive 1,validation_session.csv,Harsh Braking,312.12,312.6,0.52,0.403,70.9
Drive 1,validation_session.csv,Harsh Acceleration,358.4,359.0,0.64,0.248,32.7
Drive 1,validation_session.csv,Harsh Acceleration,398.48,399.88,1.44,0.228,30.8
Drive 1,validation_session.csv,Harsh Acceleration,436.44,436.92,0.52,0.242,26.7
Drive 1,validation_session.csv,Harsh Acceleration,443.44,444.72,1.32,0.243,33.1
Drive 1,validation_session.csv,Harsh Acceleration,471.44,472.2,0.8,0.221,26.6
Drive 1,validation_session.csv,Harsh Acceleration,486.8,487.32,0.56,0.285,22.1
Drive 1,validation_session.csv,Harsh Acceleration,521.72,522.2,0.52,0.251,19.5
Drive 1,validation_session.csv,Harsh Acceleration,576.24,578.16,1.96,0.274,30.2
Drive 1,validation_session.csv,Harsh Acceleration,647.28,647.8,0.56,0.24,17.1
Drive 2,validation_session2.csv,Harsh Braking,631.84,632.32,0.52,0.38,24.3
Drive 2,validation_session2.csv,Harsh Acceleration,634.44,636.04,1.64,0.255,23.2
Drive 2,validation_session2.csv,Harsh Acceleration,712.32,713.4,1.12,0.312,23.4
Drive 2,validation_session2.csv,Harsh Acceleration,734.52,735.6,1.12,0.219,52.1
Drive 2,validation_session2.csv,Harsh Acceleration,757.92,763.28,5.4,0.255,64.1
Drive 2,validation_session2.csv,Harsh Braking,942.52,943.24,0.76,0.393,26.3
Drive 2,validation_session2.csv,Harsh Braking,980.32,981.0,0.72,0.458,20.3
Drive 2,validation_session2.csv,Harsh Acceleration,996.68,997.16,0.52,0.222,24.2
Drive 3,validation_session3.csv,Harsh Acceleration,62.68,63.88,1.24,0.282,20.4
Drive 3,validation_session3.csv,Harsh Turning,66.8,69.24,2.48,0.588,38.0
Drive 3,validation_session3.csv,Harsh Turning,77.56,80.04,2.52,0.511,41.2
Drive 3,validation_session3.csv,Harsh Turning,82.16,84.04,1.92,0.605,37.3
Drive 3,validation_session3.csv,Harsh Turning,85.0,86.72,1.76,0.614,34.9
Drive 3,validation_session3.csv,Harsh Turning,90.6,92.92,2.36,0.552,36.4
Drive 3,validation_session3.csv,Harsh Turning,100.96,103.24,2.32,0.585,39.8
Drive 3,validation_session3.csv,Harsh Turning,107.36,109.48,2.16,0.59,34.3
Drive 3,validation_session3.csv,Harsh Turning,115.76,118.28,2.56,0.552,37.6
Drive 3,validation_session3.csv,Harsh Turning,125.56,126.64,1.12,0.488,48.0
Drive 3,validation_session3.csv,Harsh Turning,132.92,133.84,0.96,0.505,50.7
Drive 3,validation_session3.csv,Harsh Turning,142.52,143.8,1.32,0.572,40.0
Drive 3,validation_session3.csv,Harsh Turning,155.64,157.72,2.12,0.601,34.7
