tag,frame,truth,old,wl,wr,new
D15_S2,13514,0.5,0.5,"(np.float64(0.4539746642112732), np.float64(0.4325324296951294))","(np.float64(0.421656459569931), np.float64(0.7666985392570496))",0.5
D18_S3,14829,0.5,0.5,"(np.float64(0.4298206865787506), np.float64(0.4825752973556518))","(np.float64(0.3821455240249634), np.float64(0.7212766408920288))",0.5
D17_S4,627,1.0,0.0,"(np.float64(0.4718679785728454), np.float64(0.4111073315143585))","(np.float64(0.450102835893631), np.float64(0.4238331913948059))",1.0
D4_S1,42488,1.0,0.0,"(np.float64(0.6665099263191223), np.float64(0.4970282614231109))","(np.float64(0.6356244683265686), np.float64(0.5101223587989807))",1.0
D16_S2,21957,0.5,0.5,"(np.float64(0.393516331911087), np.float64(0.5638637542724609))","(np.float64(0.3877514600753784), np.float64(0.6299302577972412))",0.0
D3_S4,19275,1.0,0.5,"(np.float64(0.4605304300785064), np.float64(0.46162149310112))","(np.float64(0.4623933136463165), np.float64(0.5716208815574646))",1.0
D17_S3,1963,1.0,0.5,"(np.float64(0.3923468589782715), np.float64(0.5823401808738708))","(np.float64(0.3929317593574524), np.float64(0.6906360387802124))",0.0
D15_S1,26303,0.0,0.5,"(np.float64(0.4072484076023102), np.float64(0.6690061092376709))","(np.float64(0.4258967041969299), np.float64(0.7676439881324768))",0.0
D4_S2,25723,0.5,0.5,"(np.float64(0.6248390078544617), np.float64(0.4985751807689667))","(np.float64(0.5311387181282043), np.float64(0.6804498434066772))",0.5
D19_S4,8199,0.5,0.0,"(np.float64(0.3722516298294067), np.float64(0.3445260226726532))","(np.float64(0.3816933631896972), np.float64(0.4900800287723541))",0.0
D15_S3,14751,0.5,0.5,"(np.float64(0.4227365851402282), np.float64(0.5154225826263428))","(np.float64(0.4583216905593872), np.float64(0.7361021041870117))",0.5
D4_S4,19504,1.0,0.0,"(np.float64(0.4905800819396972), np.float64(0.4110762476921081))","(np.float64(0.2159127593040466), np.float64(0.5230893492698669))",0.5
D9_S1,33144,0.5,1.0,"(np.float64(0.5955917835235596), np.float64(0.5790706872940063))","(np.float64(0.5458157658576965), np.float64(0.8084693551063538))",0.5
D5_S2,12680,1.0,0.0,"(np.float64(0.4555603563785553), np.float64(0.4497325122356415))","(np.float64(0.4422700107097626), np.float64(0.5352352857589722))",1.0
D14_S4,10722,0.5,0.0,"(np.float64(0.3732039630413055), np.float64(0.4001449048519134))","(np.float64(0.3755391836166382), np.float64(0.3973256051540375))",0.0
D5_S1,66443,1.0,0.5,"(np.float64(0.4678612351417541), np.float64(0.5227052569389343))","(np.float64(0.4795334041118622), np.float64(0.6049953699111938))",1.0
D7_S1,60315,1.0,0.0,"(np.float64(0.6253465414047241), np.float64(0.5180865526199341))","(np.float64(0.6338223218917847), np.float64(0.518112063407898))",1.0
D16_S3,64431,1.0,0.0,"(np.float64(0.4450448155403137), np.float64(0.4572835266590118))","(np.float64(0.5279651880264282), np.float64(0.4110533893108368))",1.0
D12_S4,18576,1.0,0.0,"(np.float64(0.4698226153850555), np.float64(0.4122459888458252))","(np.float64(0.472117006778717), np.float64(0.5137445330619812))",1.0
D17_S1,28553,0.0,1.0,"(np.float64(0.4556924700736999), np.float64(0.7771424651145935))","(np.float64(0.4239072501659393), np.float64(0.7921767830848694))",0.0
D13_S1,69087,0.5,0.0,"(np.float64(0.3905860483646393), np.float64(0.4239090383052826))","(np.float64(0.4120862185955047), np.float64(0.4245748221874237))",0.5
D18_S2,23425,1.0,0.5,"(np.float64(0.4580698311328888), np.float64(0.4723951518535614))","(np.float64(0.4335974752902984), np.float64(0.5921778678894043))",1.0
D5_S4,27102,0.5,0.0,"(np.float64(0.4317191243171692), np.float64(0.4623094201087951))","(np.float64(0.4134953916072845), np.float64(0.538496732711792))",1.0
D8_S4,286,0.5,0.5,"(np.float64(0.4539731740951538), np.float64(0.4442885816097259))","(np.float64(0.4312061071395874), np.float64(0.6937271356582642))",0.5
D3_S1,37705,0.5,1.0,"(np.float64(0.6268020868301392), np.float64(0.57017582654953))","(np.float64(0.5757517218589783), np.float64(0.7942218780517578))",0.5
D12_S1,13952,1.0,0.0,"(np.float64(0.5398097634315491), np.float64(0.4734589159488678))","(np.float64(0.5364285111427307), np.float64(0.5039347410202026))",1.0
D8_S2,3168,0.5,0.5,"(np.float64(0.6330955028533936), np.float64(0.4818813800811767))","(np.float64(0.5887791514396667), np.float64(0.8478397727012634))",0.5
D9_S2,31416,0.5,0.0,"(np.float64(0.4286761581897735), np.float64(0.504248857498169))","(np.float64(0.4589702486991882), np.float64(0.4757753014564514))",1.0
D7_S3,19584,1.0,0.0,"(np.float64(0.4909926652908325), np.float64(0.3950844705104828))","(np.float64(0.4179418683052063), np.float64(0.5421978235244751))",1.0
D3_S3,53799,1.0,0.0,"(np.float64(0.4760575890541076), np.float64(0.4173898100852966))","(np.float64(0.461220920085907), np.float64(0.4597545862197876))",1.0
