tag,fused_rows,front_frames,side_frames,facial_rows,facial_detections,facial_sum_ok,facial_frame_min,facial_frame_max,pose_rows,pose_detected,pose_frame_max
D1_S1,58702,70129,68583,70121,67989,67989,0,70128,11688,11260,70123.0
D1_S2,31451,37407,37407,37407,37407,37407,0,37406,6234,6221,37401.0
D1_S3,48866,58304,58304,58296,58112,58112,0,58303,9717,9714,58298.0
D1_S4,25304,30197,30197,30197,30110,30110,0,30196,5033,5033,30194.0
D10_S1,80589,96374,96374,96358,92224,92224,0,96373,16062,16027,96371.0
D10_S2,24035,28511,28511,28511,28322,28322,0,28510,4752,4747,28509.0
D10_S3,78480,93844,0,93828,93619,93619,0,93843,0,0,
D10_S4,28149,33440,33440,33440,33274,33274,0,33439,5573,5572,33437.0
D11_S1,45614,54406,54406,54398,54074,54074,0,54405,9067,8891,54400.0
D11_S2,23465,27825,27825,27825,27780,27780,0,27824,4637,4623,27821.0
D11_S3,45095,53782,0,53774,53310,53310,0,53781,8964,8849,53780.0
D11_S4,22027,26097,26097,26097,26055,26055,0,26096,4350,4342,26096.0
D12_S1,44356,52893,52893,52885,52544,52544,0,52892,8816,8789,52892.0
D12_S2,27678,32877,32877,32877,32740,32740,0,32876,5480,5480,32874.0
D12_S3,55615,66402,66402,66394,65401,65401,0,66401,11067,11067,66396.0
D12_S4,30590,36539,36539,36539,36334,36334,0,36538,6090,6089,36534.0
D13_S1,72441,86595,86595,86579,86073,86073,0,86594,14432,14401,86589.0
D13_S2,26200,31105,31105,31105,30988,30988,0,31104,5184,5183,31103.0
D13_S3,76332,91265,91265,91249,91119,91119,0,91264,15211,15201,91264.0
D13_S4,29293,34816,34816,34816,34637,34637,0,34815,5802,5800,34810.0
D14_S1,61585,73568,73568,73560,73217,73217,0,73567,12262,12009,73567.0
D14_S2,29906,35555,35555,35555,35434,35434,0,35554,5926,5757,35550.0
D14_S3,49571,59358,59358,59350,58929,58929,0,59357,9893,9706,59356.0
D14_S4,28831,34259,34259,34259,34165,34165,0,34258,5710,5648,34254.0
D15_S1,72853,87087,87087,87071,82068,82068,0,87086,14514,14505,87083.0
D15_S2,27281,32404,32404,32404,32357,32357,0,32403,5401,5401,32402.0
D15_S3,57762,68975,68975,68967,67296,67296,0,68974,11496,11496,68973.0
D15_S4,30492,36258,36258,36258,36188,36188,0,36257,6043,6043,36255.0
D16_S1,48779,58203,0,58195,57980,57980,0,58202,0,0,
D16_S2,23460,27816,27816,27816,27661,27661,0,27815,4636,4595,27813.0
D16_S3,61937,73989,73989,73981,73795,73795,0,73988,12331,11939,73983.0
D16_S4,26008,30871,30871,30871,30815,30815,0,30870,5146,5014,30870.0
D17_S1,42426,50579,50579,50571,50492,50492,0,50578,8429,8183,50573.0
D17_S2,16364,19637,19637,19637,19562,19562,0,19636,3273,3223,19634.0
