tag,lead_in_s,frames_dropped,truncated_at_elapsed_s,fused_rows,Front_emotions_rows,Side_pose_rows,Front_frames_in,Front_frames_expected,Front_frames_out,Side_frames_in,Side_frames_expected,Side_frames_out
D10_S1,11.053,332,,80589,96358,16062.0,96706,96374,96374,96706.0,96374.0,96374.0
D10_S2,11.02,331,,24035,28511,4752.0,28842,28511,28511,28842.0,28511.0,28511.0
D10_S3,11.053,332,,78480,93828,,94176,93844,93844,,,
D10_S4,11.253,338,,28149,33440,5573.0,33778,33440,33440,33778.0,33440.0,33440.0
D11_S1,11.02,331,,45614,54398,9067.0,54737,54406,54406,54737.0,54406.0,54406.0
D11_S2,11.053,332,,23465,27825,4637.0,28157,27825,27825,28157.0,27825.0,27825.0
D11_S3,11.053,332,,45095,53774,8964.0,54114,53782,53782,,,
D11_S4,11.153,335,,22027,26097,4350.0,26432,26097,26097,26432.0,26097.0,26097.0
D12_S1,11.12,334,,44356,52885,8816.0,53227,52893,52893,53227.0,52893.0,52893.0
D12_S2,11.187,336,,27678,32877,5480.0,33213,32877,32877,33213.0,32877.0,32877.0
D12_S3,11.186,336,,55615,66394,11067.0,66738,66402,66402,66738.0,66402.0,66402.0
D12_S4,5.62,169,,30590,36539,6090.0,36708,36539,36539,36708.0,36539.0,36539.0
D13_S1,11.119,334,,72441,86579,14432.0,86929,86595,86595,86929.0,86595.0,86595.0
D13_S2,11.153,335,,26200,31105,5184.0,31440,31105,31105,31440.0,31105.0,31105.0
D13_S3,11.086,333,,76332,91249,15211.0,91598,91265,91265,91598.0,91265.0,91265.0
D13_S4,11.186,336,,29293,34816,5802.0,35152,34816,34816,35152.0,34816.0,34816.0
D14_S1,11.12,334,,61585,73560,12262.0,73902,73568,73568,73902.0,73568.0,73568.0
D14_S2,11.053,332,,29906,35555,5926.0,35887,35555,35555,35887.0,35555.0,35555.0
D14_S3,4.22,127,,49571,59350,9893.0,59485,59358,59358,59485.0,59358.0,59358.0
D14_S4,11.253,338,,28831,34259,5710.0,34597,34259,34259,34597.0,34259.0,34259.0
D15_S1,11.186,336,,72853,87071,14514.0,87423,87087,87087,87423.0,87087.0,87087.0
D15_S2,11.086,333,,27281,32404,5401.0,32737,32404,32404,32737.0,32404.0,32404.0
D15_S3,11.286,339,,57762,68967,11496.0,69314,68975,68975,69314.0,68975.0,68975.0
D15_S4,11.053,332,,30492,36258,6043.0,36590,36258,36258,36590.0,36258.0,36258.0
D16_S1,11.02,331,,48779,58195,,58534,58203,58203,,,
