tag,L,N_front,fs_old,fs_match_diff,full_front_frames,tail_raw_range,tail_frames,front_frames_out,side_mask_px,side_frames_in,side_tail_detect,side_frames_out,note,side_head_range,side_head_detect,error
D10_S2,331.0,28842.0,2564.0,0.36,32280.0,31406-31736,331.0,28842.0,200.0,28842.0,324/331 maxgap 6,28842.0,,,,
D10_S3,332.0,94176.0,3036.0,0.4,97915.0,97212-97543,332.0,94176.0,,,,,,,,
D10_S4,338.0,33778.0,1223.0,0.28,35600.0,35001-35338,338.0,33778.0,200.0,33778.0,299/338 maxgap 20,33778.0,,,,
D11_S1,331.0,54737.0,3277.0,0.32,60075.0,58014-58344,331.0,54737.0,200.0,54737.0,314/331 maxgap 5,54737.0,,,,
D11_S2,332.0,28157.0,3797.0,0.36,32535.0,31954-32285,332.0,28157.0,200.0,28157.0,297/332 maxgap 5,28157.0,,,,
D11_S3,332.0,54114.0,3938.0,0.38,58720.0,58052-58383,332.0,54114.0,,,,,,,,
D11_S4,335.0,26432.0,845.0,0.34,27920.0,27277-27611,335.0,26432.0,200.0,26432.0,270/335 maxgap 38,26432.0,,,,
D12_S1,334.0,53227.0,5280.0,0.3,59255.0,58507-58840,334.0,53227.0,200.0,53227.0,324/334 maxgap 8,53227.0,,,,
D12_S2,336.0,33213.0,3684.0,0.3,37495.0,36897-37232,336.0,33213.0,200.0,33213.0,305/336 maxgap 11,33213.0,,,,
D12_S3,336.0,66738.0,4686.0,0.32,72055.0,71424-71759,336.0,66738.0,200.0,66738.0,334/336 maxgap 2,66738.0,,,,
D12_S4,169.0,36708.0,503.0,0.35,37660.0,37211-37379,169.0,36708.0,200.0,36708.0,127/169 maxgap 21,36708.0,,,,
D13_S1,334.0,86929.0,1817.0,0.29,89940.0,88746-89079,334.0,86929.0,200.0,86929.0,329/334 maxgap 3,86929.0,,,,
D13_S2,335.0,31440.0,8408.0,0.32,40375.0,39848-40182,335.0,31440.0,200.0,31440.0,335/335 maxgap 0,31440.0,,,,
D13_S3,333.0,91598.0,7319.0,0.3,99530.0,98917-99249,333.0,91598.0,200.0,91598.0,303/333 maxgap 13,91598.0,,,,
D13_S4,336.0,35152.0,746.0,0.29,37150.0,35898-36233,336.0,35152.0,200.0,35152.0,336/336 maxgap 0,35152.0,,,,
D14_S1,334.0,73902.0,3205.0,0.34,78600.0,77107-77440,334.0,73902.0,200.0,73902.0,334/334 maxgap 0,73902.0,,,,
D14_S2,332.0,35887.0,928.0,0.27,37345.0,36815-37146,332.0,35887.0,200.0,35887.0,317/332 maxgap 15,35887.0,,,,
D14_S3,127.0,59485.0,2317.0,0.31,62105.0,61802-61928,127.0,59485.0,200.0,59485.0,127/127 maxgap 0,59485.0,,,,
D14_S4,338.0,34597.0,922.0,0.31,36020.0,35519-35856,338.0,34597.0,200.0,34597.0,315/338 maxgap 23,34597.0,,,,
D15_S2,333.0,32737.0,2719.0,0.35,36172.0,35456-35788,333.0,32737.0,200.0,32737.0,321/333 maxgap 12,32737.0,,,,
D15_S3,339.0,69314.0,3012.0,0.34,72995.0,72326-72664,339.0,69314.0,200.0,69314.0,324/339 maxgap 9,69314.0,,,,
D15_S4,332.0,36590.0,1567.0,0.34,38965.0,38157-38488,332.0,36590.0,200.0,36590.0,332/332 maxgap 0,36590.0,,,,
D16_S1,331.0,58534.0,3287.0,0.41,63265.0,61821-62151,331.0,58534.0,,,,,,,,
D16_S2,335.0,28151.0,1426.0,0.36,30125.0,29577-29911,335.0,28151.0,200.0,28151.0,307/335 maxgap 21,28151.0,,,,
D16_S4,338.0,31209.0,1654.0,0.4,33915.0,32863-33200,338.0,31209.0,200.0,31209.0,199/338 maxgap 66,31209.0,,,,
D17_S1,332.0,50911.0,10463.0,0.37,61930.0,61374-61705,332.0,50911.0,200.0,50911.0,319/332 maxgap 11,50911.0,,,,
D17_S2,332.0,29141.0,4694.0,0.33,38125.0,,,,,,,,truncated session: no tail,,,
D17_S3,335.0,83145.0,936.0,0.31,84775.0,84081-84415,335.0,83145.0,200.0,83145.0,297/335 maxgap 5,83145.0,,,,
D17_S4,334.0,36957.0,821.0,0.27,38430.0,37778-38111,334.0,36957.0,200.0,36957.0,294/334 maxgap 18,36957.0,,,,
D18_S2,338.0,34085.0,5379.0,0.27,40005.0,39464-39801,338.0,34085.0,200.0,34085.0,280/338 maxgap 23,34085.0,,,,
D18_S3,335.0,54835.0,610.0,0.27,56065.0,55445-55779,335.0,54835.0,200.0,54835.0,307/335 maxgap 28,54835.0,,,,
D18_S4,336.0,33070.0,451.0,0.29,34185.0,33521-33856,336.0,33070.0,200.0,33070.0,309/336 maxgap 18,33070.0,,,,
D19_S2,334.0,38271.0,2933.0,0.29,41805.0,41204-41537,334.0,38271.0,200.0,38271.0,294/334 maxgap 23,38271.0,,,,
D19_S3,337.0,52649.0,1810.0,0.27,55810.0,54459-54795,337.0,52649.0,200.0,52649.0,336/337 maxgap 1,52649.0,,,,
D19_S4,170.0,36500.0,577.0,0.28,37535.0,37077-37246,170.0,36500.0,200.0,36500.0,123/170 maxgap 14,36500.0,,,,
D1_S1,313.0,70442.0,1546.0,0.34,72570.0,71988-72300,313.0,70442.0,300.0,68896.0,9/313 maxgap 186,70442.0,,1859-3091,1217/1233 maxgap 3,
