tag,class,start_s,end_s,duration_s,n_samples,peak_smoothed_g,mean_speed_kmh,can_accel_min_ms2,can_accel_max_ms2,can_accel_mean_ms2_event,can_speed_change_kmh,gnss_speed_change_kmh,throttle_max_pct,n_raw_above_thr,frac_raw_above_half_thr,max_raw_g,n_raw_gt_1p2g,rectification_ratio,heading_change_deg,heading_change_expected_deg,clip_1p2g_outcome,present_at_plus10pct,present_at_minus10pct,v1_overlap
D1_S3,Harsh Braking,261.08,261.76,0.72,18,0.424,53.4,-5.68,0.21,-3.64,-9.4,-9.2,0.0,12,0.83,0.5,0,1.0,-1.0,0.4,unchanged,False,True,True
D1_S3,Harsh Acceleration,1000.28,1001.08,0.84,21,0.279,18.5,0.07,1.94,1.64,5.0,6.7,29.0,13,0.76,0.57,0,0.97,-3.6,3.5,unchanged,False,True,True
D1_S4,Harsh Acceleration,471.0,472.4,1.44,36,0.259,21.3,0.62,2.29,2.04,10.6,11.1,38.0,22,0.81,0.43,0,1.0,18.1,17.7,unchanged,True,True,True
D1_S4,Harsh Acceleration,987.08,987.64,0.6,15,0.232,24.8,0.49,2.27,1.95,4.2,4.0,34.0,8,0.73,0.3,0,1.0,2.2,2.7,unchanged,False,True,True
D11_S1,Harsh Acceleration,34.6,35.88,1.32,33,0.26,19.1,1.04,3.12,1.97,9.4,9.1,59.0,19,0.79,0.55,0,0.88,26.0,22.6,unchanged,True,True,True
D11_S1,Harsh Acceleration,1565.52,1566.24,0.76,19,0.228,17.8,-0.6,2.54,2.1,5.8,5.7,100.0,11,0.84,0.34,0,1.0,3.0,3.1,unchanged,True,True,True
D11_S1,Harsh Acceleration,1735.32,1735.88,0.6,15,0.233,21.0,-0.27,2.96,1.93,4.2,4.0,84.0,9,0.73,0.32,0,1.0,1.6,1.1,unchanged,False,True,False
D11_S1,Harsh Acceleration,1804.56,1805.36,0.84,21,0.245,18.4,0.83,2.55,2.16,6.5,6.6,63.0,14,0.95,0.39,0,1.0,3.3,3.6,unchanged,True,True,True
D11_S1,Harsh Acceleration,1814.6,1815.08,0.52,13,0.207,20.1,-0.13,2.2,1.82,3.4,3.4,41.0,8,0.92,0.23,0,1.0,18.5,13.5,unchanged,False,True,False
D11_S2,Harsh Acceleration,190.24,190.8,0.6,15,0.241,17.3,1.55,3.12,2.3,5.0,4.5,40.0,9,1.0,0.34,0,1.0,-0.7,1.8,unchanged,False,True,True
D11_S2,Harsh Turning,197.76,198.24,0.52,13,0.729,35.2,-0.36,1.43,0.09,0.2,8.7,16.0,4,0.77,1.41,1,1.0,-32.3,16.9,unchanged,False,True,True
D11_S2,Harsh Acceleration,438.04,438.96,0.96,24,0.251,25.8,1.06,2.33,2.08,7.2,8.0,55.0,16,0.96,0.48,0,1.0,15.6,14.4,unchanged,True,True,True
D11_S2,Harsh Acceleration,762.72,763.8,1.12,28,0.224,30.5,1.43,2.41,2.13,8.6,8.4,62.0,19,0.96,0.3,0,1.0,-7.5,5.9,unchanged,False,True,False
D11_S2,Harsh Acceleration,765.52,766.32,0.84,21,0.231,50.0,1.8,2.76,2.25,6.8,6.7,66.0,14,0.95,0.34,0,1.0,-0.5,0.3,unchanged,False,True,False
D11_S2,Harsh Acceleration,787.64,789.12,1.52,38,0.221,37.9,1.3,2.78,1.99,10.9,11.0,67.0,23,0.92,0.35,0,1.0,5.3,5.5,unchanged,False,True,True
D11_S2,Harsh Acceleration,790.28,791.2,0.96,24,0.259,54.6,1.63,2.81,2.25,7.8,7.9,63.0,15,0.96,0.35,0,1.0,0.3,0.8,unchanged,True,True,False
D11_S2,Harsh Acceleration,869.28,869.84,0.6,15,0.284,18.0,0.95,2.94,2.51,5.4,5.7,41.0,14,1.0,0.34,0,1.0,-8.1,6.1,unchanged,True,True,True
D11_S3,Harsh Acceleration,14.32,15.52,1.24,31,0.248,19.9,-0.56,4.23,2.08,9.3,9.7,52.0,16,0.84,0.52,0,0.95,23.9,18.7,unchanged,True,True,True
