tag,unix_time,elapsed_s,SCR_AMPLITUDE,SCR_RISE_TIME
D1_S3,1758453545.9074378,4.827,0.229936,0.866667
D1_S3,1758453552.4404378,11.36,0.136525,0.733333
D1_S3,1758453558.1724377,17.092,0.157977,0.8
D1_S3,1758453580.5714376,39.491,0.103621,0.8
D1_S3,1758453598.5684378,57.488,0.947531,1.133333
D1_S3,1758453608.5014377,67.421,0.015786,0.333333
D1_S3,1758453608.9674375,67.887,0.003853,0.066667
D1_S3,1758453631.3654375,90.285,0.033424,0.6
D1_S3,1758453648.6304376,107.55,0.003235,0.266667
D1_S3,1758453669.6284378,128.548,0.027829,0.666667
D1_S3,1758453693.8254378,152.745,0.127707,1.0
D1_S3,1758453706.3574376,165.277,0.004776,0.466667
D1_S3,1758453728.9554377,187.875,0.026897,0.6
D1_S3,1758453735.7544377,194.674,0.082883,0.933333
D1_S3,1758453749.2864375,208.206,0.087609,1.0
D1_S3,1758453756.8204377,215.74,0.024781,0.733333
D1_S3,1758453760.9524376,219.872,0.06823,0.933333
D1_S3,1758453771.0184376,229.938,0.16438,1.2
D1_S3,1758453789.4164376,248.336,0.227332,1.133333
D1_S3,1758453800.2154377,259.135,0.067692,0.866667
D1_S3,1758453803.0144377,261.934,0.666244,1.333333
D1_S3,1758453805.2814376,264.201,0.023236,0.066667
D1_S3,1758453810.3474376,269.267,0.283682,1.0
D1_S3,1758453813.0804377,272.0,0.160961,0.666667
D1_S3,1758453825.8794377,284.799,0.483661,0.933333
D1_S3,1758453832.8794377,291.799,0.652425,1.666667
D1_S3,1758453839.2784376,298.198,0.181308,1.4
D1_S3,1758453855.9434378,314.863,0.352766,1.0
D1_S3,1758453877.9414375,336.861,0.130359,0.866667
D1_S3,1758453892.5394378,351.459,0.675602,1.133333
D1_S3,1758453901.9384377,360.858,0.323569,0.933333
D1_S3,1758453907.3374376,366.257,0.961947,1.0
D1_S3,1758453914.3374376,373.257,0.096925,0.733333
D1_S3,1758453916.4704378,375.39,0.012663,0.333333
D1_S3,1758453919.6034377,378.523,0.162255,0.666667
D1_S3,1758453925.8024378,384.722,0.06214,0.733333
D1_S3,1758453942.2674377,401.187,0.130379,0.733333
D1_S3,1758453956.4664378,415.386,0.5751,1.533333
D1_S3,1758453962.5324378,421.452,0.365221,0.733333
D1_S3,1758453968.4654377,427.385,0.554063,0.8
D1_S3,1758453970.1984377,429.118,0.084925,0.2
D1_S3,1758453982.1974378,441.117,0.406667,0.933333
D1_S3,1758453992.1964376,451.116,0.39156,1.0
D1_S3,1758454053.1234376,512.043,0.005972,0.333333
D1_S3,1758454079.0544376,537.974,0.169063,1.066667
D1_S3,1758454088.1194377,547.039,0.088263,0.866667
D1_S3,1758454089.1194377,548.039,0.005675,0.066667
D1_S3,1758454090.5194378,549.439,0.044477,0.733333
D1_S3,1758454091.7864375,550.706,0.004568,0.066667
D1_S3,1758454096.3854375,555.305,0.834451,1.333333
D1_S3,1758454102.9854376,561.905,0.218994,0.8
D1_S3,1758454105.8514378,564.771,0.784314,0.866667
D1_S3,1758454121.7174375,580.637,0.008744,0.2
D1_S3,1758454122.0494378,580.969,0.685261,1.4
D1_S3,1758454142.5814376,601.501,1.291413,1.0
D1_S3,1758454163.0464375,621.966,0.775293,1.066667
D1_S3,1758454169.9784377,628.898,0.655219,0.933333
D1_S3,1758454176.1114378,635.031,0.004734,0.2
D1_S3,1758454182.2434378,641.163,0.056149,0.666667
D1_S3,1758454201.7084377,660.628,0.892954,1.133333
D1_S3,1758454265.7684376,724.688,0.055234,0.8
D1_S3,1758454272.2354376,731.155,0.019345,0.6
D1_S3,1758454286.5664375,745.486,0.003887,0.266667
D1_S3,1758454297.4984376,756.418,0.045594,1.133333
D1_S3,1758454305.7654376,764.685,0.192883,1.0
D1_S3,1758454353.4274378,812.347,0.001242,0.266667
D1_S3,1758454358.5594378,817.479,0.036318,0.866667
D1_S3,1758454359.5594378,818.479,0.005451,0.133333
D1_S3,1758454361.4924376,820.412,0.131974,1.066667
D1_S3,1758454368.2254376,827.145,0.349197,1.133333
D1_S3,1758454384.2234378,843.143,0.850365,1.266667
D1_S3,1758454398.4894378,857.409,1.073445,1.066667
D1_S3,1758454404.8224378,863.742,0.167038,0.6
D1_S3,1758454419.3534377,878.273,0.747732,1.066667
D1_S3,1758454480.5474377,939.467,0.133506,1.133333
D1_S3,1758454482.4804378,941.4,0.680349,1.133333
D1_S3,1758454490.5464375,949.466,0.108065,0.533333
D1_S3,1758454502.6784377,961.598,0.215036,0.933333
D1_S3,1758454509.6104376,968.53,0.30262,0.866667
D1_S3,1758454516.8104377,975.73,0.353824,0.933333
D1_S3,1758454526.5424378,985.462,0.468123,1.0
